"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Almaraz",TRUE,1.4385,NA,1.439,-Inf,1.438,Inf
"Almarcha (La)",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Almargen",FALSE,1.189,NA,1.189,-Inf,1.189,Inf
"Almargen",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Almarza",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Almàssera",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Almazán",FALSE,1.329,NA,1.359,-Inf,1.299,Inf
"Almazán",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Almazora/Almassora",FALSE,1.339,NA,1.389,-Inf,1.259,Inf
"Almazora/Almassora",TRUE,1.384,NA,1.384,-Inf,1.384,Inf
"Almedina",FALSE,1.249,NA,1.249,-Inf,1.249,Inf
"Almedinilla",FALSE,1.27,NA,1.295,-Inf,1.22,Inf
"Almeida de Sayago",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Almenar",FALSE,1.348,NA,1.348,-Inf,1.348,Inf
"Almenara",TRUE,1.387,NA,1.399,-Inf,1.375,Inf
"Almendral",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Almendralejo",FALSE,1.32755555555556,NA,1.399,-Inf,1.239,Inf
"Almendralejo",TRUE,1.3865,NA,1.419,-Inf,1.329,Inf
"Almensilla",FALSE,1.319,NA,1.319,-Inf,1.319,Inf
"Almería",FALSE,1.322,1.424,1.389,1.424,1.267,1.424
"Almería",TRUE,1.39028571428571,1.57325,1.409,1.618,1.379,1.558
"Almiserà",TRUE,1.349,NA,1.349,-Inf,1.349,Inf
"Almodóvar del Campo",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Almodóvar del Campo",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Almodóvar del Pinar",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Almodóvar del Río",FALSE,1.319,NA,1.339,-Inf,1.299,Inf
"Almodóvar del Río",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Almoguera",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Almoharín",FALSE,1.223,NA,1.223,-Inf,1.223,Inf
